,age,player_height,player_weight,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct
0,36,198.12,99.79024,55,5.7,16.1,3.1,16.1,0.186,0.323,0.1,0.479,0.113
1,28,215.9,117.93392,15,2.3,1.5,0.3,12.3,0.078,0.151,0.175,0.43,0.048
2,39,205.74,95.25432,9,0.8,1,0.4,-2.1,0.105,0.102,0.103,0.376,0.148
3,24,203.2,100.697424,64,3.7,2.3,0.6,-8.7,0.06,0.149,0.167,0.399,0.077
4,34,205.74,108.86208,27,2.4,2.4,0.2,-11.2,0.109,0.179,0.127,0.611,0.04
5,38,200.66,97.52228,52,8.2,2.7,1,4.1,0.034,0.126,0.22,0.541,0.102
6,25,198.12,86.18248,80,17.2,4.1,3.4,4.1,0.035,0.091,0.209,0.559,0.149
7,28,213.36,113.398,77,14.9,8,1.6,3.3,0.095,0.183,0.222,0.52,0.087
8,29,193.04,86.18248,71,5.7,1.6,1.3,-0.3,0.036,0.076,0.172,0.539,0.141
9,28,182.88,72.57472,82,6.9,1.5,3,-1.2,0.018,0.081,0.177,0.557,0.262
10,27,182.88,77.11064,9,2.4,0.4,1.2,-7.4,0,0.053,0.187,0.47,0.216
11,27,213.36,122.46984,1,0,0,0,-147.5,0,0,0.126,0,0
12,28,195.58,87.996848,13,5,1.7,2,6.6,0.011,0.098,0.144,0.565,0.191
13,34,190.5,80.285784,3,1.3,1,1,-57.4,0,0.15,0.115,0.5,0.375
14,31,210.82,120.20188,20,1.7,1.8,0.3,-3.9,0.044,0.258,0.175,0.444,0.067
15,27,210.82,106.59412,28,2.6,2.1,0.5,-15.4,0.106,0.102,0.158,0.472,0.076
16,25,213.36,122.46984,78,4.4,6.6,0.8,-6.6,0.107,0.206,0.112,0.452,0.05
17,29,185.42,86.18248,12,3.8,0.9,2,-1.4,0.01,0.102,0.188,0.588,0.436
18,26,200.66,97.52228,65,6,1.6,0.8,2.4,0.071,0.088,0.22,0.579,0.111
19,24,190.5,90.7184,67,3,1,2.4,-1.2,0.027,0.085,0.145,0.515,0.339
20,24,203.2,99.79024,72,15,4.6,1.8,-6.8,0.057,0.107,0.207,0.533,0.087
21,21,210.82,120.20188,72,5.1,4.1,0.6,-2,0.107,0.216,0.218,0.451,0.074
22,23,190.5,95.25432,28,10.6,3.2,2.4,-6.4,0.032,0.112,0.216,0.51,0.161
23,29,210.82,111.13004,82,7.1,11.1,0.9,-5.9,0.103,0.294,0.114,0.543,0.042
24,32,200.66,97.52228,62,6.4,2.3,1.1,2.3,0.066,0.091,0.181,0.521,0.1
25,29,213.36,108.86208,46,2.6,2.8,0.4,-11.8,0.112,0.143,0.111,0.535,0.056
26,30,198.12,99.79024,68,7.8,2.2,1.7,-3.1,0.024,0.07,0.143,0.505,0.092
27,27,190.5,86.18248,61,3.6,1.1,1.7,-1.3,0.031,0.085,0.172,0.514,0.258
28,27,190.5,92.98636,2,1,0,0,-53.7,0,0,0.185,0.258,0
29,28,203.2,106.59412,66,12.5,3.1,2.1,1.9,0.021,0.092,0.188,0.519,0.106
30,22,185.42,90.7184,80,3.9,1.2,1.5,5.1,0.031,0.087,0.186,0.491,0.223
31,35,193.04,93.439952,75,10,1.8,4.3,-7.7,0.016,0.057,0.181,0.516,0.252
32,29,205.74,108.86208,82,8.5,6.3,0.9,-0.7,0.1,0.208,0.182,0.513,0.064
33,24,210.82,102.0582,2,0,2,0,-39.9,0.188,0.2,0.213,0,0
34,30,208.28,117.93392,57,18.1,10.1,3.4,-5.4,0.08,0.225,0.24,0.518,0.161
35,30,205.74,92.98636,50,8,4.8,2.7,-0.2,0.067,0.127,0.167,0.462,0.154
36,34,208.28,106.59412,61,16.8,6.5,4.4,12.2,0.049,0.166,0.211,0.592,0.2
37,25,200.66,108.86208,6,3,2.3,0.3,-42.1,0.113,0.25,0.263,0.319,0.071
38,27,193.04,83.91452,8,2.4,0.8,0,-19.6,0.058,0.071,0.231,0.422,0
39,27,200.66,106.59412,5,2.6,0.6,0.4,17.5,0.026,0.049,0.192,0.388,0.065
40,25,205.74,112.490816,48,1.9,1.9,0.6,-0.9,0.099,0.151,0.163,0.411,0.112
41,30,210.82,102.0582,25,14,8.4,1.9,-3.3,0.058,0.217,0.227,0.471,0.092
42,37,203.2,104.32616,63,18.2,6.4,1.9,-10.3,0.101,0.154,0.297,0.517,0.118
43,27,208.28,106.59412,37,10.9,3.8,1,-5.9,0.06,0.152,0.264,0.493,0.091
44,23,203.2,113.398,47,2.8,2.1,0.3,-1.5,0.092,0.159,0.154,0.523,0.053
45,31,203.2,98.883056,62,3.5,2.5,0.4,-4.6,0.073,0.137,0.131,0.552,0.047
46,28,177.8,72.57472,27,2.2,0.4,1.3,-12.4,0.009,0.046,0.134,0.479,0.234
47,23,195.58,88.904032,22,2.5,0.7,0.6,-10.3,0.051,0.059,0.244,0.378,0.146
48,24,200.66,104.32616,56,3.1,1.3,0.4,-8.7,0.045,0.118,0.19,0.476,0.085
49,23,203.2,116.119552,47,4.5,2.9,1,1.3,0.132,0.144,0.204,0.501,0.14
50,24,205.74,104.32616,61,7.3,4.5,0.9,-8.6,0.098,0.21,0.222,0.478,0.088
51,27,198.12,92.98636,81,14.5,5.3,3.9,-2.6,0.031,0.135,0.184,0.543,0.165
52,31,218.44,113.398,80,13.3,11.6,1.4,8.1,0.112,0.256,0.179,0.584,0.066
53,33,195.58,92.98636,68,14.8,3.1,1.7,1.6,0.024,0.098,0.226,0.562,0.104
54,29,213.36,127.00576,73,5.1,5.7,0.3,-1.2,0.124,0.205,0.128,0.524,0.02
55,25,185.42,83.91452,7,2.9,2,0.7,1.4,0.065,0.156,0.13,0.521,0.106
56,23,210.82,129.27372,20,1.7,0.9,0.2,11.5,0.048,0.137,0.19,0.539,0.056
57,34,210.82,111.13004,68,8,8.3,1.5,4.3,0.099,0.199,0.122,0.538,0.067
58,24,187.96,80.285784,82,4.5,1,2.4,2.5,0.024,0.067,0.192,0.53,0.296
59,27,195.58,83.007336,36,5,1.1,0.9,-3.3,0.02,0.054,0.154,0.466,0.088
60,27,208.28,122.46984,82,9.7,5.8,1.2,2.9,0.09,0.218,0.227,0.536,0.1
61,26,195.58,97.52228,76,16.1,4,2.6,3.4,0.045,0.097,0.229,0.557,0.129
62,26,208.28,111.13004,72,1.4,2.8,0.3,2.5,0.104,0.189,0.083,0.439,0.042
63,33,208.28,109.769264,20,2,1.6,0.3,5,0.167,0.284,0.224,0.441,0.088
64,24,203.2,95.25432,66,7.3,1.8,2.3,1.3,0.028,0.095,0.214,0.541,0.234
65,24,203.2,113.398,69,11.9,4.3,2.9,1.4,0.037,0.121,0.207,0.487,0.158
